Cell	Sample	Primer	 Tech_rep	Ct	Tm Value	GAPDH	dCt	NC_dCt	ddCt	FC	mean_FC	SD_FC
iPSC	TEAD2/4 NC1 rep1	TEAD2.p2	1	20.574806	80.8	16.134312	4.440494	4.328114375	0.112379625	0.925060979	1.041616229	0.164834015
iPSC	TEAD2/4 NC1 rep1	TEAD2.p2	2	19.915745	80.8	15.7994795	4.1162655	4.328114375	-0.211848875	1.158171479		
iPSC	TEAD2/4 NC1 rep2	TEAD2.p2	1	20.440012	81.1	16.08847	4.351542	4.328114375	0.023427625	0.983892346	0.966274645	0.024915192
iPSC	TEAD2/4 NC1 rep2	TEAD2.p2	2	20.221453	81.1	15.817297	4.404156	4.328114375	0.076041625	0.948656944		
iPSC	TEAD2/4 si1 rep1	TEAD2.p2	1	23.004215	81.1	16.223635	6.78058	4.328114375	2.452465625	0.182698206	0.17569808	0.009899674
iPSC	TEAD2/4 si1 rep1	TEAD2.p2	2	23.055737	88.6	16.160137	6.8956	4.328114375	2.567485625	0.168697953		
iPSC	TEAD2/4 si1 rep2	TEAD2.p2	1	22.98362	88.6	16.318062	6.665558	4.328114375	2.337443625	0.197860615	0.183172651	0.020771919
iPSC	TEAD2/4 si1 rep2	TEAD2.p2	2	23.025793	88.6	16.128368	6.897425	4.328114375	2.569310625	0.168484686		
iPSC	TEAD2/4 si2 rep1	TEAD2.p2	1	22.481958	88.6	16.430845	6.051113	4.328114375	1.722998625	0.302918454	0.294251555	0.012256846
iPSC	TEAD2/4 si2 rep1	TEAD2.p2	2	22.837524	88.9	16.7014	6.136124	4.328114375	1.808009625	0.285584656		
iPSC	TEAD2/4 si2 rep2	TEAD2.p2	1	22.763538	80.8	16.617626	6.145912	4.328114375	1.817797625	0.283653658	0.256464203	0.038451696
iPSC	TEAD2/4 si2 rep2	TEAD2.p2	2	22.73999	81.1	16.287025	6.452965	4.328114375	2.124850625	0.229274748		
iPSC	TEAD2/4 NC1 rep1	TEAD4.p1	1	21.29958	83.2	16.134312	5.165268	4.965137625	0.200130375	0.870471896	0.990568213	0.169841841
iPSC	TEAD2/4 NC1 rep1	TEAD4.p1	2	20.613194	83.2	15.7994795	4.8137145	4.965137625	-0.151423125	1.11066453		
iPSC	TEAD2/4 NC1 rep2	TEAD4.p1	1	20.992945	83.5	16.08847	4.904475	4.965137625	-0.060662625	1.042944672	1.017346039	0.036201933
iPSC	TEAD2/4 NC1 rep2	TEAD4.p1	2	20.79439	83.5	15.817297	4.977093	4.965137625	0.011955375	0.991747407		
iPSC	TEAD2/4 si1 rep1	TEAD4.p1	1	23.436161	83.2	16.223635	7.212526	4.965137625	2.247388375	0.210605005	0.228814802	0.025752543
iPSC	TEAD2/4 si1 rep1	TEAD4.p1	2	23.142548	83.2	16.160137	6.982411	4.965137625	2.017273375	0.2470246		
iPSC	TEAD2/4 si1 rep2	TEAD4.p1	1	23.412092	83.5	16.318062	7.09403	4.965137625	2.128892375	0.228633328	0.226577501	0.002907378
iPSC	TEAD2/4 si1 rep2	TEAD4.p1	2	23.248579	83.5	16.128368	7.120211	4.965137625	2.155073375	0.224521674		
iPSC	TEAD2/4 si2 rep1	TEAD4.p1	1	22.586012	83.5	16.430845	6.155167	4.965137625	1.190029375	0.438293936	0.471595401	0.047095383
iPSC	TEAD2/4 si2 rep1	TEAD4.p1	2	22.652477	83.2	16.7014	5.951077	4.965137625	0.985939375	0.504896865		
iPSC	TEAD2/4 si2 rep2	TEAD4.p1	1	23.188988	83.5	16.617626	6.571362	4.965137625	1.606224375	0.32845682	0.285493789	0.060758901
iPSC	TEAD2/4 si2 rep2	TEAD4.p1	2	23.295923	83.2	16.287025	7.008898	4.965137625	2.043760375	0.242530757		
iPSC	TEAD2/4 NC1 rep1	TEAD4.p2	1	19.89652	82.9	16.134312	3.762208	3.965849625	-0.203641625	1.151601541	1.027163164	0.175982441
iPSC	TEAD2/4 NC1 rep1	TEAD4.p2	2	19.912971	83.2	15.7994795	4.1134915	3.965849625	0.147641875	0.902724786		
iPSC	TEAD2/4 NC1 rep2	TEAD4.p2	1	19.996006	83.2	16.08847	3.907536	3.965849625	-0.058313625	1.041247928	0.982534905	0.083032753
iPSC	TEAD2/4 NC1 rep2	TEAD4.p2	2	19.89746	82.9	15.817297	4.080163	3.965849625	0.114313375	0.923821883		
iPSC	TEAD2/4 si1 rep1	TEAD4.p2	1	22.59841	82.9	16.223635	6.374775	3.965849625	2.408925375	0.188296048	0.188684613	0.000549514
iPSC	TEAD2/4 si1 rep1	TEAD4.p2	2	22.52897	82.9	16.160137	6.368833	3.965849625	2.402983375	0.189073178		
iPSC	TEAD2/4 si1 rep2	TEAD4.p2	1	22.441628	82.9	16.318062	6.123566	3.965849625	2.157716375	0.224110729	0.20349463	0.029155567
iPSC	TEAD2/4 si1 rep2	TEAD4.p2	2	22.54526	83.2	16.128368	6.416892	3.965849625	2.451042375	0.182878531		
iPSC	TEAD2/4 si2 rep1	TEAD4.p2	1	22.28187	83.2	16.430845	5.851025	3.965849625	1.885175375	0.270710852	0.316968331	0.065417954
iPSC	TEAD2/4 si2 rep1	TEAD4.p2	2	22.128311	83.2	16.7014	5.426911	3.965849625	1.461061375	0.36322581		
iPSC	TEAD2/4 si2 rep2	TEAD4.p2	1	22.27116	83.2	16.617626	5.653534	3.965849625	1.687684375	0.310424779	0.265278072	0.063847085
iPSC	TEAD2/4 si2 rep2	TEAD4.p2	2	22.436438	83.2	16.287025	6.149413	3.965849625	2.183563375	0.220131365		
