"analysis","contrast","n","dip_stat","dip_pval","mclust_best_G","bic_G1","bic_G2"
"all_edges","iPSvsNSC_P0",145,0.0265874237294444,0.702631015784167,2,-221.221776247072,-215.970837097048
"all_edges","NSC_P0vsNSC_P2",145,0.0564100231473057,0.00150416625661987,2,-386.128896869006,-366.907676657282
"all_edges","NSC_P2vsNeuron",145,0.0588130860376574,0.000700899068647898,2,-413.892181001729,-383.999044988235
