"axis","gene_set","rank","es"
"triplet_pairs","expressed_TRUE",1427,0.0528784286510606
"triplet_pairs","expressed_TRUE",1441,0.0534711744443158
"triplet_pairs","expressed_TRUE",1454,0.0540871404112578
"triplet_pairs","expressed_TRUE",1467,0.0547031063781999
"triplet_pairs","expressed_TRUE",1480,0.0549257173916255
"triplet_pairs","expressed_TRUE",1493,0.0548860917693734
"triplet_pairs","expressed_TRUE",1506,0.0552398211006378
"triplet_pairs","expressed_TRUE",1519,0.0557246687497411
"triplet_pairs","expressed_TRUE",1532,0.0562095163988443
"triplet_pairs","expressed_TRUE",1545,0.0569566006836252
"triplet_pairs","expressed_TRUE",1558,0.0570480933792119
"triplet_pairs","expressed_TRUE",1571,0.0572707043926375
"triplet_pairs","expressed_TRUE",1584,0.0574933154060631
"triplet_pairs","expressed_TRUE",1598,0.057561587927963
"triplet_pairs","expressed_TRUE",1611,0.058177553894905
"triplet_pairs","expressed_TRUE",1624,0.0587935198618471
"triplet_pairs","expressed_TRUE",1637,0.0590161308752727
"triplet_pairs","expressed_TRUE",1650,0.0592387418886983
"triplet_pairs","expressed_TRUE",1663,0.059330234584285
"triplet_pairs","expressed_TRUE",1676,0.0594217272798718
"triplet_pairs","expressed_TRUE",1689,0.0596443382932974
"triplet_pairs","expressed_TRUE",1702,0.0599980676245618
"triplet_pairs","expressed_TRUE",1715,0.0606140335915039
"triplet_pairs","expressed_TRUE",1728,0.0610988812406071
"triplet_pairs","expressed_TRUE",1742,0.0610360354446681
"triplet_pairs","expressed_TRUE",1755,0.0613897647759325
"triplet_pairs","expressed_TRUE",1768,0.0622679673785522
"triplet_pairs","expressed_TRUE",1781,0.0626216967098166
"triplet_pairs","expressed_TRUE",1794,0.0634998993124363
"triplet_pairs","expressed_TRUE",1807,0.0635913920080231
"triplet_pairs","expressed_TRUE",1820,0.064338476292804
"triplet_pairs","expressed_TRUE",1833,0.0645610873062296
"triplet_pairs","expressed_TRUE",1846,0.0645214616839775
"triplet_pairs","expressed_TRUE",1859,0.0650063093330807
"triplet_pairs","expressed_TRUE",1872,0.0653600386643451
"triplet_pairs","expressed_TRUE",1885,0.0657137679956096
"triplet_pairs","expressed_TRUE",1899,0.0659131588353482
"triplet_pairs","expressed_TRUE",1912,0.0662668881666127
"triplet_pairs","expressed_TRUE",1925,0.0668828541335547
"triplet_pairs","expressed_TRUE",1938,0.0671054651469803
"triplet_pairs","expressed_TRUE",1951,0.0675903127960835
"triplet_pairs","expressed_TRUE",1964,0.0678129238095091
"triplet_pairs","expressed_TRUE",1977,0.0680355348229347
"triplet_pairs","expressed_TRUE",1990,0.0683892641541991
"triplet_pairs","expressed_TRUE",2003,0.0690052301211412
"triplet_pairs","expressed_TRUE",2016,0.0690967228167279
"triplet_pairs","expressed_TRUE",2029,0.0694504521479923
"triplet_pairs","expressed_TRUE",2042,0.0696730631614179
"triplet_pairs","expressed_TRUE",2056,0.0700035723189954
"triplet_pairs","expressed_TRUE",2069,0.070226183332421
"triplet_pairs","expressed_TRUE",2082,0.0705799126636854
"triplet_pairs","expressed_TRUE",2095,0.0705402870414334
"triplet_pairs","expressed_TRUE",2108,0.0710251346905366
"triplet_pairs","expressed_TRUE",2121,0.0712477457039622
"triplet_pairs","expressed_TRUE",2134,0.0718637116709043
"triplet_pairs","expressed_TRUE",2147,0.071955204366491
"triplet_pairs","expressed_TRUE",2160,0.0721778153799166
"triplet_pairs","expressed_TRUE",2173,0.072531544711181
"triplet_pairs","expressed_TRUE",2186,0.0731475106781231
"triplet_pairs","expressed_TRUE",2200,0.0734780198357006
"triplet_pairs","expressed_TRUE",2213,0.0739628674848038
"triplet_pairs","expressed_TRUE",2226,0.0741854784982294
"triplet_pairs","expressed_TRUE",2239,0.0745392078294938
"triplet_pairs","expressed_TRUE",2252,0.0747618188429194
"triplet_pairs","expressed_TRUE",2265,0.0752466664920226
"triplet_pairs","expressed_TRUE",2278,0.0757315141411259
"triplet_pairs","expressed_TRUE",2291,0.0759541251545515
"triplet_pairs","expressed_TRUE",2304,0.0763078544858159
"triplet_pairs","expressed_TRUE",2317,0.0769238204527579
"triplet_pairs","expressed_TRUE",2330,0.0772775497840223
"triplet_pairs","expressed_TRUE",2343,0.0775001607974479
"triplet_pairs","expressed_TRUE",2357,0.0782240249085419
"triplet_pairs","expressed_TRUE",2370,0.0784466359219675
"triplet_pairs","expressed_TRUE",2383,0.0789314835710707
"triplet_pairs","expressed_TRUE",2396,0.0792852129023351
"triplet_pairs","expressed_TRUE",2409,0.0793767055979219
"triplet_pairs","expressed_TRUE",2422,0.0794681982935087
"triplet_pairs","expressed_TRUE",2435,0.0795596909890954
"triplet_pairs","expressed_TRUE",2448,0.0799134203203598
"triplet_pairs","expressed_TRUE",2461,0.0805293862873019
"triplet_pairs","expressed_TRUE",2474,0.0807519973007275
"triplet_pairs","expressed_TRUE",2487,0.0812368449498307
"triplet_pairs","expressed_TRUE",2501,0.0815673541074082
"triplet_pairs","expressed_TRUE",2514,0.0815277284851562
"triplet_pairs","expressed_TRUE",2527,0.0816192211807429
"triplet_pairs","expressed_TRUE",2540,0.082235187147685
"triplet_pairs","expressed_TRUE",2553,0.0824577981611106
"triplet_pairs","expressed_TRUE",2566,0.0825492908566973
"triplet_pairs","expressed_TRUE",2579,0.0827719018701229
"triplet_pairs","expressed_TRUE",2592,0.0829945128835485
"triplet_pairs","expressed_TRUE",2605,0.0830860055791353
"triplet_pairs","expressed_TRUE",2618,0.0831774982747221
"triplet_pairs","expressed_TRUE",2631,0.0836623459238253
"triplet_pairs","expressed_TRUE",2644,0.0834916019837344
"triplet_pairs","expressed_TRUE",2658,0.0842154660948284
"triplet_pairs","expressed_TRUE",2671,0.0840447221547375
"triplet_pairs","expressed_TRUE",2684,0.0840050965324855
"triplet_pairs","expressed_TRUE",2697,0.0842277075459111
"triplet_pairs","expressed_TRUE",2710,0.084188081923659
"triplet_pairs","expressed_TRUE",2723,0.0842795746192458
"triplet_pairs","expressed_TRUE",2736,0.0845021856326714
"triplet_pairs","expressed_TRUE",2749,0.084724796646097
"triplet_pairs","expressed_TRUE",2762,0.0846851710238449
"triplet_pairs","expressed_TRUE",2775,0.0849077820372705
"triplet_pairs","expressed_TRUE",2788,0.0851303930506961
"triplet_pairs","expressed_TRUE",2802,0.0850675472547571
"triplet_pairs","expressed_TRUE",2815,0.0850279216325051
"triplet_pairs","expressed_TRUE",2828,0.0851194143280918
"triplet_pairs","expressed_TRUE",2841,0.0850797887058398
"triplet_pairs","expressed_TRUE",2854,0.0850401630835877
"triplet_pairs","expressed_TRUE",2867,0.0851316557791745
"triplet_pairs","expressed_TRUE",2880,0.0852231484747613
"triplet_pairs","expressed_TRUE",2893,0.0858391144417033
"triplet_pairs","expressed_TRUE",2906,0.0857994888194513
"triplet_pairs","expressed_TRUE",2919,0.0860220998328769
"triplet_pairs","expressed_TRUE",2932,0.0866380657998189
"triplet_pairs","expressed_TRUE",2945,0.087254031766761
"triplet_pairs","expressed_TRUE",2959,0.0874534226064997
"triplet_pairs","expressed_TRUE",2972,0.0878071519377641
"triplet_pairs","expressed_TRUE",2985,0.087767526315512
"triplet_pairs","expressed_TRUE",2998,0.0879901373289376
"triplet_pairs","expressed_TRUE",3011,0.0886061032958797
"triplet_pairs","expressed_TRUE",3024,0.0888287143093053
"triplet_pairs","expressed_TRUE",3037,0.0890513253227309
"triplet_pairs","expressed_TRUE",3050,0.0891428180183176
"triplet_pairs","expressed_TRUE",3063,0.0893654290317432
"triplet_pairs","expressed_TRUE",3076,0.0895880400451688
"triplet_pairs","expressed_TRUE",3089,0.0903351243299497
"triplet_pairs","expressed_TRUE",3103,0.0902722785340107
"triplet_pairs","expressed_TRUE",3116,0.0904948895474363
"triplet_pairs","expressed_TRUE",3129,0.0909797371965395
"triplet_pairs","expressed_TRUE",3142,0.0910712298921263
"triplet_pairs","expressed_TRUE",3155,0.0915560775412295
"triplet_pairs","expressed_TRUE",3168,0.0919098068724939
"triplet_pairs","expressed_TRUE",3181,0.0923946545215972
"triplet_pairs","expressed_TRUE",3194,0.0922239105815063
"triplet_pairs","expressed_TRUE",3207,0.0923154032770931
"triplet_pairs","expressed_TRUE",3220,0.092275777654841
"triplet_pairs","expressed_TRUE",3233,0.0923672703504278
"triplet_pairs","expressed_TRUE",3246,0.0927209996816922
"triplet_pairs","expressed_TRUE",3260,0.0930515088392697
"triplet_pairs","expressed_TRUE",3273,0.0932741198526953
"triplet_pairs","expressed_TRUE",3286,0.0937589675017985
"triplet_pairs","expressed_TRUE",3299,0.0938504601973853
"triplet_pairs","expressed_TRUE",3312,0.0940730712108109
"triplet_pairs","expressed_TRUE",3325,0.09390232727072
"triplet_pairs","expressed_TRUE",3338,0.0939938199663068
"triplet_pairs","expressed_TRUE",3351,0.0940853126618936
"triplet_pairs","expressed_TRUE",3364,0.0941768053574803
"triplet_pairs","expressed_TRUE",3377,0.0942682980530671
"triplet_pairs","expressed_TRUE",3390,0.0943597907486539
"triplet_pairs","expressed_TRUE",3403,0.0943201651264018
"triplet_pairs","expressed_TRUE",3417,0.0945195559661405
"triplet_pairs","expressed_TRUE",3430,0.0943488120260497
"triplet_pairs","expressed_TRUE",3443,0.09404694976812
"triplet_pairs","expressed_TRUE",3456,0.0940073241458679
"triplet_pairs","expressed_TRUE",3469,0.093836580205777
"triplet_pairs","expressed_TRUE",3482,0.0944525461727191
"triplet_pairs","expressed_TRUE",3495,0.0946751571861447
"triplet_pairs","expressed_TRUE",3508,0.0947666498817314
"triplet_pairs","expressed_TRUE",3521,0.0945959059416406
"triplet_pairs","expressed_TRUE",3534,0.0950807535907438
"triplet_pairs","expressed_TRUE",3547,0.0953033646041694
"triplet_pairs","expressed_TRUE",3561,0.0953716371260693
"triplet_pairs","expressed_TRUE",3574,0.095463129821656
"triplet_pairs","expressed_TRUE",3587,0.095423504199404
"triplet_pairs","expressed_TRUE",3600,0.0953838785771519
"triplet_pairs","expressed_TRUE",3613,0.0954753712727387
"triplet_pairs","expressed_TRUE",3626,0.0956979822861643
"triplet_pairs","expressed_TRUE",3639,0.0959205932995899
"triplet_pairs","expressed_TRUE",3652,0.095749849359499
"triplet_pairs","expressed_TRUE",3665,0.0959724603729246
"triplet_pairs","expressed_TRUE",3678,0.0961950713863502
"triplet_pairs","expressed_TRUE",3691,0.0964176823997758
"triplet_pairs","expressed_TRUE",3704,0.0965091750953626
"triplet_pairs","expressed_TRUE",3718,0.0964463292994236
"triplet_pairs","expressed_TRUE",3731,0.0964067036771716
"triplet_pairs","expressed_TRUE",3744,0.0966293146905971
"triplet_pairs","expressed_TRUE",3757,0.0969830440218616
"triplet_pairs","expressed_TRUE",3770,0.097336773353126
"triplet_pairs","expressed_TRUE",3783,0.0974282660487127
"triplet_pairs","expressed_TRUE",3796,0.0973886404264607
"triplet_pairs","expressed_TRUE",3809,0.0977423697577251
"triplet_pairs","expressed_TRUE",3822,0.0982272174068283
"triplet_pairs","expressed_TRUE",3835,0.0980564734667375
"triplet_pairs","expressed_TRUE",3848,0.0984102027980019
"triplet_pairs","expressed_TRUE",3862,0.0986095936377406
"triplet_pairs","expressed_TRUE",3875,0.0988322046511661
"triplet_pairs","expressed_TRUE",3888,0.0985303423932365
"triplet_pairs","expressed_TRUE",3901,0.0986218350888232
"triplet_pairs","expressed_TRUE",3914,0.0989755644200876
"triplet_pairs","expressed_TRUE",3927,0.0991981754335132
"triplet_pairs","expressed_TRUE",3940,0.0994207864469388
"triplet_pairs","expressed_TRUE",3953,0.0993811608246868
"triplet_pairs","expressed_TRUE",3966,0.0994726535202735
"triplet_pairs","expressed_TRUE",3979,0.0995641462158603
"triplet_pairs","expressed_TRUE",3992,0.0993934022757694
"triplet_pairs","expressed_TRUE",4005,0.0992226583356786
"triplet_pairs","expressed_TRUE",4019,0.0992909308575784
"triplet_pairs","expressed_TRUE",4032,0.0996446601888429
"triplet_pairs","expressed_TRUE",4045,0.099473916248752
"triplet_pairs","expressed_TRUE",4058,0.0995654089443388
"triplet_pairs","expressed_TRUE",4071,0.0999191382756032
"triplet_pairs","expressed_TRUE",4084,0.0998795126533511
"triplet_pairs","expressed_TRUE",4097,0.0998398870310991
"triplet_pairs","expressed_TRUE",4110,0.0999313797266858
"triplet_pairs","expressed_TRUE",4123,0.100153990740111
"triplet_pairs","expressed_TRUE",4136,0.100376601753537
"triplet_pairs","expressed_TRUE",4149,0.100468094449124
"triplet_pairs","expressed_TRUE",4163,0.100798603606701
"triplet_pairs","expressed_TRUE",4176,0.100890096302288
"triplet_pairs","expressed_TRUE",4189,0.101243825633552
"triplet_pairs","expressed_TRUE",4202,0.101859791600495
"triplet_pairs","expressed_TRUE",4215,0.101820165978242
"triplet_pairs","expressed_TRUE",4228,0.101911658673829
"triplet_pairs","expressed_TRUE",4241,0.102265388005094
"triplet_pairs","expressed_TRUE",4254,0.102750235654197
"triplet_pairs","expressed_TRUE",4267,0.102579491714106
"triplet_pairs","expressed_TRUE",4280,0.102670984409693
"triplet_pairs","expressed_TRUE",4293,0.102893595423118
"triplet_pairs","expressed_TRUE",4306,0.103640679707899
"triplet_pairs","expressed_TRUE",4320,0.103708952229799
"triplet_pairs","expressed_TRUE",4333,0.103931563243225
"triplet_pairs","expressed_TRUE",4346,0.104023055938811
"triplet_pairs","expressed_TRUE",4359,0.104245666952237
"triplet_pairs","expressed_TRUE",4372,0.104206041329985
"triplet_pairs","expressed_TRUE",4385,0.104428652343411
"triplet_pairs","expressed_TRUE",4398,0.104651263356836
"triplet_pairs","expressed_TRUE",4411,0.104349401098907
"triplet_pairs","expressed_TRUE",4424,0.10483424874801
"triplet_pairs","expressed_TRUE",4437,0.105319096397113
"triplet_pairs","expressed_TRUE",4450,0.105279470774861
"triplet_pairs","expressed_TRUE",4464,0.105741098250277
"triplet_pairs","expressed_TRUE",4477,0.105963709263703
"triplet_pairs","expressed_TRUE",4490,0.10605520195929
"triplet_pairs","expressed_TRUE",4503,0.106277812972715
"triplet_pairs","expressed_TRUE",4516,0.10663154230398
"triplet_pairs","expressed_TRUE",4529,0.107116389953083
"triplet_pairs","expressed_TRUE",4542,0.107470119284347
"triplet_pairs","expressed_TRUE",4555,0.107299375344256
"triplet_pairs","expressed_TRUE",4568,0.107390868039843
"triplet_pairs","expressed_TRUE",4581,0.107875715688946
"triplet_pairs","expressed_TRUE",4594,0.108098326702372
"triplet_pairs","expressed_TRUE",4607,0.10805870108012
"triplet_pairs","expressed_TRUE",4621,0.10812697360202
"triplet_pairs","expressed_TRUE",4634,0.108218466297607
"triplet_pairs","expressed_TRUE",4647,0.108572195628871
"triplet_pairs","expressed_TRUE",4660,0.108925924960135
"triplet_pairs","expressed_TRUE",4673,0.1092796542914
"triplet_pairs","expressed_TRUE",4686,0.109764501940503
"triplet_pairs","expressed_TRUE",4699,0.109593758000412
"triplet_pairs","expressed_TRUE",4712,0.109816369013838
"triplet_pairs","expressed_TRUE",4725,0.110038980027263
"triplet_pairs","expressed_TRUE",4738,0.109999354405011
"triplet_pairs","expressed_TRUE",4751,0.110484202054114
"triplet_pairs","expressed_TRUE",4764,0.110444576431862
"triplet_pairs","expressed_TRUE",4778,0.11077508558944
"triplet_pairs","expressed_TRUE",4791,0.110866578285027
"triplet_pairs","expressed_TRUE",4804,0.110958070980613
"triplet_pairs","expressed_TRUE",4817,0.111574036947556
"triplet_pairs","expressed_TRUE",4830,0.111665529643142
"triplet_pairs","expressed_TRUE",4843,0.111888140656568
"triplet_pairs","expressed_TRUE",4856,0.112110751669993
"triplet_pairs","expressed_TRUE",4869,0.11220224436558
"triplet_pairs","expressed_TRUE",4882,0.112555973696845
"triplet_pairs","expressed_TRUE",4895,0.112516348074593
"triplet_pairs","expressed_TRUE",4908,0.112870077405857
"triplet_pairs","expressed_TRUE",4922,0.112938349927757
"triplet_pairs","expressed_TRUE",4935,0.113160960941182
"triplet_pairs","expressed_TRUE",4948,0.113645808590286
"triplet_pairs","expressed_TRUE",4961,0.113737301285872
"triplet_pairs","expressed_TRUE",4974,0.113959912299298
"triplet_pairs","expressed_TRUE",4987,0.114182523312724
"triplet_pairs","expressed_TRUE",5000,0.11427401600831
"triplet_pairs","expressed_TRUE",5013,0.114234390386058
"triplet_pairs","expressed_TRUE",5026,0.114588119717323
"triplet_pairs","expressed_TRUE",5039,0.114417375777232
"triplet_pairs","expressed_TRUE",5052,0.114639986790658
"triplet_pairs","expressed_TRUE",5065,0.114993716121922
"triplet_pairs","expressed_TRUE",5079,0.115455343597338
"triplet_pairs","expressed_TRUE",5092,0.115940191246441
"triplet_pairs","expressed_TRUE",5105,0.115638328988512
"triplet_pairs","expressed_TRUE",5118,0.115860940001937
"triplet_pairs","expressed_TRUE",5131,0.115952432697524
"triplet_pairs","expressed_TRUE",5144,0.116043925393111
"triplet_pairs","expressed_TRUE",5157,0.116528773042214
"triplet_pairs","expressed_TRUE",5170,0.117013620691317
"triplet_pairs","expressed_TRUE",5183,0.116842876751227
