"sweep","sweep_value","theme","category","pct","n","n_nodes"
"estimate_percentile",80,"TF_promoter","fully_uncoupled",49.2058548738711,1580,3211
"estimate_percentile",80,"TF_promoter","intermediate",47.5864216754905,1528,3211
"estimate_percentile",80,"TF_promoter","fully_coupled",3.20772345063843,103,3211
"estimate_percentile",90,"TF_enhancer","fully_uncoupled",43.7246963562753,216,494
"estimate_percentile",90,"TF_enhancer","intermediate",21.4574898785425,106,494
"estimate_percentile",90,"TF_enhancer","fully_coupled",34.8178137651822,172,494
"estimate_percentile",90,"TF_promoter","fully_uncoupled",61.1721611721612,1503,2457
"estimate_percentile",90,"TF_promoter","intermediate",28.3272283272283,696,2457
"estimate_percentile",90,"TF_promoter","fully_coupled",10.5006105006105,258,2457
"estimate_percentile",95,"TF_enhancer","fully_uncoupled",37.5,81,216
"estimate_percentile",95,"TF_enhancer","intermediate",7.40740740740741,16,216
"estimate_percentile",95,"TF_enhancer","fully_coupled",55.0925925925926,119,216
"estimate_percentile",95,"TF_promoter","fully_uncoupled",55.9307359307359,646,1155
"estimate_percentile",95,"TF_promoter","intermediate",17.6623376623377,204,1155
"estimate_percentile",95,"TF_promoter","fully_coupled",26.4069264069264,305,1155
