"axis","gene_set","rank"
"triplet_pairs","expressed_TRUE",283
"triplet_pairs","expressed_TRUE",284
"triplet_pairs","expressed_TRUE",285
"triplet_pairs","expressed_TRUE",286
"triplet_pairs","expressed_TRUE",288
"triplet_pairs","expressed_TRUE",290
"triplet_pairs","expressed_TRUE",296
"triplet_pairs","expressed_TRUE",297
"triplet_pairs","expressed_TRUE",299
"triplet_pairs","expressed_TRUE",303
"triplet_pairs","expressed_TRUE",304
"triplet_pairs","expressed_TRUE",308
"triplet_pairs","expressed_TRUE",310
"triplet_pairs","expressed_TRUE",311
"triplet_pairs","expressed_TRUE",312
"triplet_pairs","expressed_TRUE",315
"triplet_pairs","expressed_TRUE",316
"triplet_pairs","expressed_TRUE",317
"triplet_pairs","expressed_TRUE",318
"triplet_pairs","expressed_TRUE",321
"triplet_pairs","expressed_TRUE",322
"triplet_pairs","expressed_TRUE",326
"triplet_pairs","expressed_TRUE",327
"triplet_pairs","expressed_TRUE",333
"triplet_pairs","expressed_TRUE",334
"triplet_pairs","expressed_TRUE",335
"triplet_pairs","expressed_TRUE",338
"triplet_pairs","expressed_TRUE",341
"triplet_pairs","expressed_TRUE",344
"triplet_pairs","expressed_TRUE",345
"triplet_pairs","expressed_TRUE",348
"triplet_pairs","expressed_TRUE",350
"triplet_pairs","expressed_TRUE",352
"triplet_pairs","expressed_TRUE",355
"triplet_pairs","expressed_TRUE",356
"triplet_pairs","expressed_TRUE",358
"triplet_pairs","expressed_TRUE",359
"triplet_pairs","expressed_TRUE",360
"triplet_pairs","expressed_TRUE",362
"triplet_pairs","expressed_TRUE",364
"triplet_pairs","expressed_TRUE",375
"triplet_pairs","expressed_TRUE",379
"triplet_pairs","expressed_TRUE",381
"triplet_pairs","expressed_TRUE",383
"triplet_pairs","expressed_TRUE",384
"triplet_pairs","expressed_TRUE",388
"triplet_pairs","expressed_TRUE",391
"triplet_pairs","expressed_TRUE",394
"triplet_pairs","expressed_TRUE",396
"triplet_pairs","expressed_TRUE",399
"triplet_pairs","expressed_TRUE",400
"triplet_pairs","expressed_TRUE",401
"triplet_pairs","expressed_TRUE",402
"triplet_pairs","expressed_TRUE",403
"triplet_pairs","expressed_TRUE",405
"triplet_pairs","expressed_TRUE",406
"triplet_pairs","expressed_TRUE",407
"triplet_pairs","expressed_TRUE",408
"triplet_pairs","expressed_TRUE",411
"triplet_pairs","expressed_TRUE",413
"triplet_pairs","expressed_TRUE",417
"triplet_pairs","expressed_TRUE",420
"triplet_pairs","expressed_TRUE",428
"triplet_pairs","expressed_TRUE",436
"triplet_pairs","expressed_TRUE",438
"triplet_pairs","expressed_TRUE",443
"triplet_pairs","expressed_TRUE",445
"triplet_pairs","expressed_TRUE",446
"triplet_pairs","expressed_TRUE",450
"triplet_pairs","expressed_TRUE",451
"triplet_pairs","expressed_TRUE",452
"triplet_pairs","expressed_TRUE",460
"triplet_pairs","expressed_TRUE",464
"triplet_pairs","expressed_TRUE",466
"triplet_pairs","expressed_TRUE",467
"triplet_pairs","expressed_TRUE",470
"triplet_pairs","expressed_TRUE",471
"triplet_pairs","expressed_TRUE",472
"triplet_pairs","expressed_TRUE",475
"triplet_pairs","expressed_TRUE",477
"triplet_pairs","expressed_TRUE",478
"triplet_pairs","expressed_TRUE",479
"triplet_pairs","expressed_TRUE",482
"triplet_pairs","expressed_TRUE",483
"triplet_pairs","expressed_TRUE",486
"triplet_pairs","expressed_TRUE",487
"triplet_pairs","expressed_TRUE",492
"triplet_pairs","expressed_TRUE",493
"triplet_pairs","expressed_TRUE",498
"triplet_pairs","expressed_TRUE",501
"triplet_pairs","expressed_TRUE",504
"triplet_pairs","expressed_TRUE",506
"triplet_pairs","expressed_TRUE",508
"triplet_pairs","expressed_TRUE",511
"triplet_pairs","expressed_TRUE",512
"triplet_pairs","expressed_TRUE",515
"triplet_pairs","expressed_TRUE",518
"triplet_pairs","expressed_TRUE",519
"triplet_pairs","expressed_TRUE",520
"triplet_pairs","expressed_TRUE",523
"triplet_pairs","expressed_TRUE",525
"triplet_pairs","expressed_TRUE",526
"triplet_pairs","expressed_TRUE",527
"triplet_pairs","expressed_TRUE",529
"triplet_pairs","expressed_TRUE",530
"triplet_pairs","expressed_TRUE",531
"triplet_pairs","expressed_TRUE",534
"triplet_pairs","expressed_TRUE",535
"triplet_pairs","expressed_TRUE",536
"triplet_pairs","expressed_TRUE",541
"triplet_pairs","expressed_TRUE",545
"triplet_pairs","expressed_TRUE",547
"triplet_pairs","expressed_TRUE",551
"triplet_pairs","expressed_TRUE",552
"triplet_pairs","expressed_TRUE",555
"triplet_pairs","expressed_TRUE",556
"triplet_pairs","expressed_TRUE",557
"triplet_pairs","expressed_TRUE",558
"triplet_pairs","expressed_TRUE",561
"triplet_pairs","expressed_TRUE",562
"triplet_pairs","expressed_TRUE",566
"triplet_pairs","expressed_TRUE",569
"triplet_pairs","expressed_TRUE",570
"triplet_pairs","expressed_TRUE",572
"triplet_pairs","expressed_TRUE",575
"triplet_pairs","expressed_TRUE",577
"triplet_pairs","expressed_TRUE",578
"triplet_pairs","expressed_TRUE",579
"triplet_pairs","expressed_TRUE",581
"triplet_pairs","expressed_TRUE",582
"triplet_pairs","expressed_TRUE",583
"triplet_pairs","expressed_TRUE",589
"triplet_pairs","expressed_TRUE",591
"triplet_pairs","expressed_TRUE",592
"triplet_pairs","expressed_TRUE",593
"triplet_pairs","expressed_TRUE",594
"triplet_pairs","expressed_TRUE",599
"triplet_pairs","expressed_TRUE",600
"triplet_pairs","expressed_TRUE",601
"triplet_pairs","expressed_TRUE",602
"triplet_pairs","expressed_TRUE",607
"triplet_pairs","expressed_TRUE",610
"triplet_pairs","expressed_TRUE",614
"triplet_pairs","expressed_TRUE",615
"triplet_pairs","expressed_TRUE",616
"triplet_pairs","expressed_TRUE",617
"triplet_pairs","expressed_TRUE",618
"triplet_pairs","expressed_TRUE",619
"triplet_pairs","expressed_TRUE",621
"triplet_pairs","expressed_TRUE",622
"triplet_pairs","expressed_TRUE",623
"triplet_pairs","expressed_TRUE",624
"triplet_pairs","expressed_TRUE",626
"triplet_pairs","expressed_TRUE",627
"triplet_pairs","expressed_TRUE",628
"triplet_pairs","expressed_TRUE",630
"triplet_pairs","expressed_TRUE",632
"triplet_pairs","expressed_TRUE",633
"triplet_pairs","expressed_TRUE",634
"triplet_pairs","expressed_TRUE",636
"triplet_pairs","expressed_TRUE",637
"triplet_pairs","expressed_TRUE",640
"triplet_pairs","expressed_TRUE",641
"triplet_pairs","expressed_TRUE",642
"triplet_pairs","expressed_TRUE",645
"triplet_pairs","expressed_TRUE",650
"triplet_pairs","expressed_TRUE",654
"triplet_pairs","expressed_TRUE",655
"triplet_pairs","expressed_TRUE",657
"triplet_pairs","expressed_TRUE",659
"triplet_pairs","expressed_TRUE",660
"triplet_pairs","expressed_TRUE",661
"triplet_pairs","expressed_TRUE",662
"triplet_pairs","expressed_TRUE",665
"triplet_pairs","expressed_TRUE",668
"triplet_pairs","expressed_TRUE",671
"triplet_pairs","expressed_TRUE",672
"triplet_pairs","expressed_TRUE",677
"triplet_pairs","expressed_TRUE",681
"triplet_pairs","expressed_TRUE",683
"triplet_pairs","expressed_TRUE",687
"triplet_pairs","expressed_TRUE",688
"triplet_pairs","expressed_TRUE",690
"triplet_pairs","expressed_TRUE",693
"triplet_pairs","expressed_TRUE",696
"triplet_pairs","expressed_TRUE",697
"triplet_pairs","expressed_TRUE",699
"triplet_pairs","expressed_TRUE",700
"triplet_pairs","expressed_TRUE",701
"triplet_pairs","expressed_TRUE",702
"triplet_pairs","expressed_TRUE",706
"triplet_pairs","expressed_TRUE",708
"triplet_pairs","expressed_TRUE",711
"triplet_pairs","expressed_TRUE",716
"triplet_pairs","expressed_TRUE",718
"triplet_pairs","expressed_TRUE",719
"triplet_pairs","expressed_TRUE",722
"triplet_pairs","expressed_TRUE",725
"triplet_pairs","expressed_TRUE",727
"triplet_pairs","expressed_TRUE",728
"triplet_pairs","expressed_TRUE",729
"triplet_pairs","expressed_TRUE",730
"triplet_pairs","expressed_TRUE",733
"triplet_pairs","expressed_TRUE",734
"triplet_pairs","expressed_TRUE",737
"triplet_pairs","expressed_TRUE",743
"triplet_pairs","expressed_TRUE",745
"triplet_pairs","expressed_TRUE",746
"triplet_pairs","expressed_TRUE",748
"triplet_pairs","expressed_TRUE",749
"triplet_pairs","expressed_TRUE",751
"triplet_pairs","expressed_TRUE",752
"triplet_pairs","expressed_TRUE",753
"triplet_pairs","expressed_TRUE",754
"triplet_pairs","expressed_TRUE",757
"triplet_pairs","expressed_TRUE",758
"triplet_pairs","expressed_TRUE",761
"triplet_pairs","expressed_TRUE",762
"triplet_pairs","expressed_TRUE",764
"triplet_pairs","expressed_TRUE",767
"triplet_pairs","expressed_TRUE",769
"triplet_pairs","expressed_TRUE",771
"triplet_pairs","expressed_TRUE",772
"triplet_pairs","expressed_TRUE",774
"triplet_pairs","expressed_TRUE",777
"triplet_pairs","expressed_TRUE",779
"triplet_pairs","expressed_TRUE",780
"triplet_pairs","expressed_TRUE",782
"triplet_pairs","expressed_TRUE",783
"triplet_pairs","expressed_TRUE",784
"triplet_pairs","expressed_TRUE",789
"triplet_pairs","expressed_TRUE",791
"triplet_pairs","expressed_TRUE",793
"triplet_pairs","expressed_TRUE",794
"triplet_pairs","expressed_TRUE",795
"triplet_pairs","expressed_TRUE",796
"triplet_pairs","expressed_TRUE",797
"triplet_pairs","expressed_TRUE",800
"triplet_pairs","expressed_TRUE",802
"triplet_pairs","expressed_TRUE",805
"triplet_pairs","expressed_TRUE",807
"triplet_pairs","expressed_TRUE",808
"triplet_pairs","expressed_TRUE",809
"triplet_pairs","expressed_TRUE",813
"triplet_pairs","expressed_TRUE",814
"triplet_pairs","expressed_TRUE",815
"triplet_pairs","expressed_TRUE",816
"triplet_pairs","expressed_TRUE",821
"triplet_pairs","expressed_TRUE",823
"triplet_pairs","expressed_TRUE",824
"triplet_pairs","expressed_TRUE",825
"triplet_pairs","expressed_TRUE",827
"triplet_pairs","expressed_TRUE",832
"triplet_pairs","expressed_TRUE",837
"triplet_pairs","expressed_TRUE",838
"triplet_pairs","expressed_TRUE",843
"triplet_pairs","expressed_TRUE",844
"triplet_pairs","expressed_TRUE",845
"triplet_pairs","expressed_TRUE",846
"triplet_pairs","expressed_TRUE",850
"triplet_pairs","expressed_TRUE",851
"triplet_pairs","expressed_TRUE",853
"triplet_pairs","expressed_TRUE",855
"triplet_pairs","expressed_TRUE",857
"triplet_pairs","expressed_TRUE",860
"triplet_pairs","expressed_TRUE",862
"triplet_pairs","expressed_TRUE",864
"triplet_pairs","expressed_TRUE",866
"triplet_pairs","expressed_TRUE",867
"triplet_pairs","expressed_TRUE",868
"triplet_pairs","expressed_TRUE",873
"triplet_pairs","expressed_TRUE",875
"triplet_pairs","expressed_TRUE",876
"triplet_pairs","expressed_TRUE",878
"triplet_pairs","expressed_TRUE",881
"triplet_pairs","expressed_TRUE",887
"triplet_pairs","expressed_TRUE",888
"triplet_pairs","expressed_TRUE",889
"triplet_pairs","expressed_TRUE",891
"triplet_pairs","expressed_TRUE",892
"triplet_pairs","expressed_TRUE",893
"triplet_pairs","expressed_TRUE",896
"triplet_pairs","expressed_TRUE",897
"triplet_pairs","expressed_TRUE",908
