label	motif	max_TF_exp	ATAC_enhancer_var	ATAC_promoter_var	RNA_enhancer_var	RNA_promoter_var	ATAC_enhancer_padj	ATAC_promoter_padj	RNA_enhancer_padj	RNA_promoter_padj	var_ATAC_enhancer	var_RNA_enhancer	var_ATAC_promoter	var_RNA_promoter	ATAC_enhancer_corr	ATAC_promoter_corr	RNA_enhancer_corr	RNA_promoter_corr	varNcorr05_ATAC_enhancer	varNcorr05_ATAC_promoter	varNcorr05_RNA_enhancer	varNcorr05_RNA_promoter	motifID	TF_symbol	motifName	TF_activator	TF_repressor	TF_pioneer	TF_closer	ATAC+	ATAC-	RNA+	RNA-
MA1966.2_TFAP4::ETV1_TF1	MA1966.2_TFAP4::ETV1	0.244723036115158	2.60050363172255	1.41959547784838	1.01169267639183	1.02794880204291	0	1.03762951880066e-28	0.947991113525762	0.723841489704752	yes	no	no	no	-0.678703989482725	-0.739923530777367	0.191294277170258	0.615167971214027	yes	no	no	no	MA1966.2	TFAP4	TFAP4::ETV1	Yes	No	No	No	No	Yes	No	No
MA1969.2_THRA	MA1969.2_THRA	0.445662285201884	2.37985440791874	1.58936014476607	0.6753322888992	1.00211162942496	1.0503263832396e-250	6.30404728592532e-53	1	1	yes	no	no	no	0.640278969759654	-0.698975126578726	0.618715464134228	-0.801807436057558	yes	no	no	no	MA1969.2	THRA	THRA	Yes	Yes	No	No	Yes	No	No	No
MA1970.2_TRPS1	MA1970.2_TRPS1	0.262918984156317	4.60992359927075	1.79346089156508	1.40134293080692	0.386382983389973	0	5.68789850004017e-91	5.87258408694333e-26	1	yes	yes	yes	no	-0.757506981212538	-0.555193491029071	-0.682679044249067	-0.674663990720615	yes	yes	yes	no	MA1970.2	TRPS1	TRPS1	No	Yes	No	No	No	Yes	No	Yes
MA1972.1_ZFP14	MA1972.1_ZFP14	0.36487828329068	2.45752180911369	1.46220491890889	1.65443769120773	0.529531046394773	4.24729287542461e-277	3.98123043823342e-34	2.35007270400608e-63	1	yes	yes	no	no	0.771617381903408	-0.0943717903318484	0.495660372170862	0.786814470400264	yes	no	no	no	MA1972.1	ZFP14	ZFP14	No	No	No	No	Yes	No	No	No
MA1977.2_ZNF324	MA1977.2_ZNF324	0.169452925689861	1.97934668172598	2.47081221047576	0.771650376085456	0.949936304119364	6.15621151624993e-134	2.45038668459412e-281	1	1	no	no	yes	no	0.801107200366245	-0.80724895134686	0.716014905611634	-0.667567565433453	no	yes	no	no	MA1977.2	ZNF324	ZNF324	No	No	No	No	No	Yes	No	No
MA1985.1_ZNF669	MA1985.1_ZNF669	0.38630544654648	1.83709665361371	0.89059384662448	1.17480023615243	0.424452383525506	1.58025775109378e-100	1	3.2221693639154e-06	1	no	yes	no	no	0.810823863657532	0.202536713682252	0.776509866673609	0.738930175320624	no	no	yes	no	MA1985.1	ZNF669	ZNF669	No	No	No	No	No	No	Yes	No
MA1988.2_Atf3	MA1988.2_Atf3	0.764839783957798	5.5819546251418	2.34383591714057	1.39696144621097	1.30294369262344	0	1.55152737724701e-238	1.85348079374721e-25	2.07899221495101e-15	yes	yes	yes	yes	0.444053373977271	0.312087631054003	0.710313732694097	-0.151980064786314	no	no	yes	no	MA1988.2	ATF3	Atf3	Yes	Yes	No	No	No	No	Yes	No
MA1993.2_Neurod2	MA1993.2_Neurod2	0.213520661289871	3.4158207458272	2.31451341116474	1.73531461129715	0.707542854217039	0	4.14357226668068e-229	1.85173731753216e-78	1	yes	yes	yes	no	0.693213138296578	0.438357406701418	0.754726922219876	0.133572378931141	yes	no	yes	no	MA1993.2	NEUROD2	Neurod2	Yes	No	No	No	Yes	No	Yes	No
MA1996.2_Nr1H2	MA1996.2_Nr1H2	0.333172191348903	2.163405945192	2.33395027067754	0.648602135132845	1.22353717449076	1.63379871249557e-183	2.46039982340639e-235	1	4.47431538457752e-09	yes	no	yes	yes	-0.652379501296294	0.816251275892014	0.767856930238365	0.897090818278041	yes	yes	no	yes	MA1996.2	NR1H2	Nr1H2	Yes	No	No	No	Yes	Yes	Yes	No
MA1999.2_Prdm5	MA1999.2_Prdm5	0.173504271754529	0.757243428057447	1.58736836446926	1.33942003404528	0.415765054348907	1	1.32719101584662e-52	3.21723269028535e-19	1	no	yes	no	no	0.154059246236006	-0.105364010304428	-0.761640308203343	0.234173154638037	no	no	yes	no	MA1999.2	PRDM5	Prdm5	No	No	No	No	No	No	No	Yes
MA2099.1_ZNF770	MA2099.1_ZNF770	0.680042314195296	0.71318441922625	1.25717335838112	0.976384947064433	1.13989774160379	1	2.65946729260613e-12	1	0.000300214582718771	no	no	no	yes	0.357690231681272	0.113006862346756	-0.167297216593286	-0.638119737016007	no	no	no	yes	MA2099.1	ZNF770	ZNF770	No	No	No	No	No	No	No	Yes
MA2100.1_ZSCAN16	MA2100.1_ZSCAN16	0.188681650250959	2.40727049531822	1.27107220466848	1.46370792813539	0.586379913072527	6.97102092484359e-260	1.96502488540028e-13	9.80082045177691e-34	1	yes	yes	no	no	0.768453955421947	0.422375136154003	0.747839744666803	-0.667765666718666	yes	no	yes	no	MA2100.1	ZSCAN16	ZSCAN16	No	No	No	No	Yes	No	Yes	No
MA2102.1_ZBTB17	MA2102.1_ZBTB17	0.257424922441443	3.90833653058969	2.54147952132442	2.09844131257703	0.603077084706127	0	1.48553021862362e-306	6.53206828873893e-164	1	yes	yes	yes	no	0.726351816102672	0.692728448147262	0.75612289941705	0.748190497305242	yes	yes	yes	no	MA2102.1	ZBTB17	ZBTB17	Yes	Yes	No	No	Yes	No	Yes	No
MA2119.1_HOXA3	MA2119.1_HOXA3	0.540778547696266	3.01733253246857	1.57936888623077	0.837596505534336	0.612701755312456	0	2.61158854586264e-51	1	1	yes	no	no	no	0.883078154374751	0.448278173544277	0.514429628967327	-0.578751286187602	yes	no	no	no	MA2119.1	HOXA3	HOXA3	No	No	No	No	Yes	No	No	No
MA2324.1_BCL11A	MA2324.1_BCL11A	0.259477380463988	1.73547526737661	2.17911494600247	0.819154207490645	0.605133259824108	2.23454280369082e-79	8.98717983542871e-188	1	1	no	no	yes	no	-0.837130560462562	0.902749741093563	-0.492092901887939	-0.384711405517508	no	yes	no	no	MA2324.1	BCL11A	BCL11A	No	Yes	No	No	Yes	No	No	No
MA2328.1_ZBED4	MA2328.1_ZBED4	0.326015952761515	3.11693220656651	1.17858458181638	0.454969352624613	0.743754346605724	0	6.90734057913093e-07	1	1	yes	no	no	no	-0.788127116495486	-0.816886839137987	-0.481595096773856	0.833782944992005	yes	no	no	no	MA2328.1	ZBED4	ZBED4	Yes	No	No	No	No	Yes	No	No
MA2329.1_ZBTB11	MA2329.1_ZBTB11	0.302805059854746	1.07508553932193	3.29391461507715	0.649881745825021	1.17876529722343	0.0205882212228217	0	1	2.89165162104451e-06	no	no	yes	yes	-0.102831637235775	0.572028541143283	0.216707544931162	-0.735209714964634	no	yes	no	yes	MA2329.1	ZBTB11	ZBTB11	No	No	No	No	Yes	No	No	Yes
MA2330.1_ZBTB24	MA2330.1_ZBTB24	0.205313743662342	0.521790427705729	2.86378992244912	0.847942119352524	1.12663029522766	1	0	1	0.0011245573962495	no	no	yes	yes	0.242215817189627	0.568833147501862	-0.555775632701461	0.459296633881683	no	yes	no	no	MA2330.1	ZBTB24	ZBTB24	No	No	No	No	Yes	No	No	No
MA2333.1_ZNF35	MA2333.1_ZNF35	0.345426539446852	1.05279306838341	1.88779866294903	0.796843681462525	1.20860468784651	0.0773177692957075	1.01807826248089e-111	1	4.48923810663673e-08	no	no	yes	yes	0.809835832226454	-0.856508633787324	0.423371413032965	-0.880768997258797	no	yes	no	yes	MA2333.1	ZNF35	ZNF35	No	No	No	No	No	Yes	No	Yes
MA2339.1_Nanog	MA2339.1_Nanog	0.883125162152417	3.53958263045442	1.2881752869944	1.05076567173982	0.426596655287852	0	6.72520885810741e-15	0.217969891666951	1	yes	no	no	no	0.845195423944454	0.114022143302187	0.600405865754979	-0.582202256651302	yes	no	no	no	MA2339.1	NANOG	Nanog	Yes	Yes	No	No	Yes	No	No	No
MA2340.1_Zbtb2	MA2340.1_Zbtb2	0.153766929734472	2.75354175365469	3.29787070961044	0.841310564961542	1.22509641085757	0	0	1	3.52053132840473e-09	yes	no	yes	yes	-0.358664050722934	0.514222603609021	0.206913037329929	-0.0971308121073147	no	yes	no	no	MA2340.1	ZBTB2	Zbtb2	No	No	No	No	Yes	No	No	No
