"network","dev_ratio","TF","connection_type","target_type","metric","value"
"lasso",0.1,"TEAD4","either","all","f1_score",0.157132863369747
"lasso",0.1,"ONECUT2","either","all","f1_score",0.107745329221839
"lasso",0.2,"TEAD4","either","all","f1_score",0.172506376694858
"lasso",0.2,"ONECUT2","either","all","f1_score",0.113441780821918
"lasso",0.3,"TEAD4","either","all","f1_score",0.180430635050422
"lasso",0.3,"ONECUT2","either","all","f1_score",0.120714083309719
"lasso",0.4,"TEAD4","either","all","f1_score",0.175604888999751
"lasso",0.4,"ONECUT2","either","all","f1_score",0.1156271899089
"lasso",0.5,"TEAD4","either","all","f1_score",0.154241645244216
"lasso",0.5,"ONECUT2","either","all","f1_score",0.0964446260727421
"lasso",0.6,"TEAD4","either","all","f1_score",0.107094529286681
"lasso",0.6,"ONECUT2","either","all","f1_score",0.0582255083179298
"lasso",0.7,"TEAD4","either","all","f1_score",0.062144420131291
"lasso",0.7,"ONECUT2","either","all","f1_score",0.0300824842309558
"lasso",0.8,"TEAD4","either","all","f1_score",0.0318633110136227
"lasso",0.8,"ONECUT2","either","all","f1_score",0.0187007874015748
"lasso_no_tobias",0,"TEAD4","either","all","f1_score",0.111368184092046
"lasso_no_tobias",0,"ONECUT2","either","all","f1_score",0.0926789141760351
"lasso_no_tobias",0.1,"TEAD4","either","all","f1_score",0.125643108583807
"lasso_no_tobias",0.1,"ONECUT2","either","all","f1_score",0.101993355481728
"lasso_no_tobias",0.2,"TEAD4","either","all","f1_score",0.156384752486633
"lasso_no_tobias",0.2,"ONECUT2","either","all","f1_score",0.113529662825437
"lasso_no_tobias",0.3,"TEAD4","either","all","f1_score",0.17028955787056
"lasso_no_tobias",0.3,"ONECUT2","either","all","f1_score",0.121550041817675
"lasso_no_tobias",0.4,"TEAD4","either","all","f1_score",0.167029442089586
"lasso_no_tobias",0.4,"ONECUT2","either","all","f1_score",0.119072343371409
"lasso_no_tobias",0.5,"TEAD4","either","all","f1_score",0.147299509001637
"lasso_no_tobias",0.5,"ONECUT2","either","all","f1_score",0.0984540276647681
"lasso_no_tobias",0.6,"TEAD4","either","all","f1_score",0.100973012667523
"lasso_no_tobias",0.6,"ONECUT2","either","all","f1_score",0.0667886550777676
"lasso_no_tobias",0.7,"TEAD4","either","all","f1_score",0.0606960950764007
"lasso_no_tobias",0.7,"ONECUT2","either","all","f1_score",0.0329138431752178
"lasso_no_tobias",0.8,"TEAD4","either","all","f1_score",0.0333333333333333
"lasso_no_tobias",0.8,"ONECUT2","either","all","f1_score",0.0196463654223969
"lasso_no_hic",0,"TEAD4","either","all","f1_score",0.146621353224169
"lasso_no_hic",0,"ONECUT2","either","all","f1_score",0.103855721393035
"lasso_no_hic",0.1,"TEAD4","either","all","f1_score",0.147245106909853
"lasso_no_hic",0.1,"ONECUT2","either","all","f1_score",0.102572451970042
"lasso_no_hic",0.2,"TEAD4","either","all","f1_score",0.158272541581558
"lasso_no_hic",0.2,"ONECUT2","either","all","f1_score",0.106651376146789
"lasso_no_hic",0.3,"TEAD4","either","all","f1_score",0.163708857790634
"lasso_no_hic",0.3,"ONECUT2","either","all","f1_score",0.112024665981501
"lasso_no_hic",0.4,"TEAD4","either","all","f1_score",0.16153678236193
"lasso_no_hic",0.4,"ONECUT2","either","all","f1_score",0.109375
"lasso_no_hic",0.5,"TEAD4","either","all","f1_score",0.147810755215986
"lasso_no_hic",0.5,"ONECUT2","either","all","f1_score",0.0919719407638348
"lasso_no_hic",0.6,"TEAD4","either","all","f1_score",0.106892738665684
"lasso_no_hic",0.6,"ONECUT2","either","all","f1_score",0.057116953762466
"lasso_no_hic",0.7,"TEAD4","either","all","f1_score",0.0625809236081139
"lasso_no_hic",0.7,"ONECUT2","either","all","f1_score",0.0299372283920811
"lasso_no_hic",0.8,"TEAD4","either","all","f1_score",0.0317752705503108
"lasso_no_hic",0.8,"ONECUT2","either","all","f1_score",0.0186915887850467
"lasso_no_hic_no_tobias",0,"TEAD4","either","all","f1_score",0.108306188925081
"lasso_no_hic_no_tobias",0,"ONECUT2","either","all","f1_score",0.0860796851942941
"lasso_no_hic_no_tobias",0.1,"TEAD4","either","all","f1_score",0.120514175030815
"lasso_no_hic_no_tobias",0.1,"ONECUT2","either","all","f1_score",0.0957620817843866
"lasso_no_hic_no_tobias",0.2,"TEAD4","either","all","f1_score",0.143779638785188
"lasso_no_hic_no_tobias",0.2,"ONECUT2","either","all","f1_score",0.105745371254056
"lasso_no_hic_no_tobias",0.3,"TEAD4","either","all","f1_score",0.157071783937456
"lasso_no_hic_no_tobias",0.3,"ONECUT2","either","all","f1_score",0.111785533636823
"lasso_no_hic_no_tobias",0.4,"TEAD4","either","all","f1_score",0.155742633794348
"lasso_no_hic_no_tobias",0.4,"ONECUT2","either","all","f1_score",0.110684580934101
"lasso_no_hic_no_tobias",0.5,"TEAD4","either","all","f1_score",0.142140241421402
"lasso_no_hic_no_tobias",0.5,"ONECUT2","either","all","f1_score",0.0930954228083786
"lasso_no_hic_no_tobias",0.6,"TEAD4","either","all","f1_score",0.100659493231517
"lasso_no_hic_no_tobias",0.6,"ONECUT2","either","all","f1_score",0.0653536257833483
"lasso_no_hic_no_tobias",0.7,"TEAD4","either","all","f1_score",0.06125
"lasso_no_hic_no_tobias",0.7,"ONECUT2","either","all","f1_score",0.0327552986512524
"lasso_no_hic_no_tobias",0.8,"TEAD4","either","all","f1_score",0.0336899613020715
"lasso_no_hic_no_tobias",0.8,"ONECUT2","either","all","f1_score",0.0196367206676485
